batch;wwtp;N;P;K;Ca;Mg;C;Fe;Al;Mn;Cu;Zn;Ni;Na;Co;pH;CE;MO;CN;As;Ba;Cd;Pb;Cr
A1;Alegria;23,64;7,61;1,91;15,86;7,32;220,5;40,53;40,61;0,23;0,19;1,42;0,029;0,93;0,006;4,44;7,24;38,01;9,33;0,00135;0,22762;0,00150;0,05083;0,06272
A2;Alegria;35,67;16,65;2,92;20,19;5,37;242,1;35,17;22,98;0,25;0,33;1,09;0,061;0,68;0,006;5,20;3,34;41,74;6,79;0,00100;0,54862;0,00190;0,21683;0,20622
A3;Alegria;24,29;18,58;3,72;12,83;5,65;190,36;41,2;34,46;0,31;0,44;1,16;0,049;0,89;0,009;5,51;5,75;32,82;7,84;0,00180;0,39312;0,00230;0,28883;0,20722
A4;Alegria;32,32;17,2;2,45;23,17;6,58;218,39;34,07;24,13;0,18;0,32;0,95;0,052;0,63;0,005;4,65;3,71;37,65;6,76;0,00160;0,38012;0,00235;0,13433;0,14122
A6;Alegria;34,33;18,94;2,78;21,62;5,51;241,92;34,91;24,46;0,25;0,33;1,21;0,051;0,73;0,005;4,57;3,68;41,71;7,05;0,00090;0,38312;0,00250;0,12783;0,13372
B1;Barra;34,79;10,11;0,89;22,46;2,56;343,98;21,19;21,44;0,13;0,21;1,15;0,018;0,6;0,003;6,60;1,87;59,30;9,89;0,00001;0,13362;0,00095;0,02083;0,03637
B2;Barra;28,12;8,52;1,31;26,21;4,29;268,51;33,2;20,82;0,18;0,31;1,76;0,049;0,46;0,005;6,21;2,58;46,29;9,55;0,00001;0,18462;0,00140;0,07683;0,08122
B4;Barra;34,05;10,21;1,21;17,6;4,44;276,11;33,65;24,41;0,18;0,28;1,67;0,031;0,62;0,004;6,34;4,67;47,60;8,11;0,00001;0,22512;0,00125;0,07683;0,08822
I1;Ilha;22,04;8,07;1,22;23,28;3,44;173,94;29,9;33,35;0,17;0,24;1,16;0,018;0,62;0,004;6,10;2,52;29,99;7,89;0,00070;0,29862;0,00160;0,14183;0,05122
I2;Ilha;21,12;8,56;1,39;17,15;2,14;201,53;33,38;34,08;0,15;0,22;0,93;0,026;0,21;0,004;5,43;1,49;34,74;9,54;0,00020;0,20212;0,00135;0,16683;0,05622
I3;Ilha;18,33;7,62;1,26;12,51;1,9;150,45;30,81;31,12;0,14;0,21;0,82;0,017;0,1;0,004;5,66;2,65;25,94;8,21;0,00001;0,17812;0,00110;0,14183;0,03372
I4;Ilha;26,28;8,22;1,37;22,17;2,9;213,41;31,85;30,89;0,17;0,2;1,01;0,018;0,2;0,004;6,34;3,37;36,79;8,12;0,00001;0,29362;0,00150;0,10683;0,03372
I5;Ilha;17,43;7,95;1,62;16,31;1,98;153,4;33,97;41,73;0,16;0,24;0,86;0,024;0,13;0,005;5,65;2,58;26,45;8,80;0,00001;0,21262;0,00150;0,16483;0,08672
I6;Ilha;19,21;7,04;1,35;17,55;2,46;171,87;31,29;33,61;0,17;0,17;0,95;0,02;0,24;0,004;5,03;3,84;29,63;8,95;0,00001;0,20412;0,00140;0,05583;0,04022
I7;Ilha;12,54;5,66;2,07;14,66;3,59;110,49;29,84;35,36;0,35;0,16;0,73;0,035;0,24;0,004;5,30;2,31;19,05;8,81;0,00001;0,16912;0,00120;0,12083;0,09622
I8;Ilha;17,75;7,57;1,62;21,56;2,87;147,49;32,85;31,19;0,16;0,18;0,91;0,016;0,43;0,004;5,54;1,87;25,43;8,31;0,00001;0,17862;0,00115;0,05483;0,04522
S1;Sarapui;21,61;15,79;2,28;15,21;2,91;129,13;58,42;49,99;2,83;0,11;0,4;0,029;0,4;0,008;7,74;1,36;22,26;5,98;0,00001;0,75862;0,00160;0,08483;0,13672
S2;Sarapui;26,48;14,63;2,02;12,97;2,69;159,92;57,62;52,79;2,53;0,11;0,38;0,023;0,43;0,008;7,13;1,09;27,57;6,04;0,00001;0,75362;0,00160;0,08983;0,13122
S3;Sarapui;19,39;16,38;2,36;16,67;3,56;119,52;68,02;57,24;2,77;0,13;0,83;0,023;0,43;0,009;7,61;2,44;20,60;6,16;0,00001;0,50362;0,00185;0,10083;0,12122
